Rank,Name,Company,Country,Score,Citations,H-Index,Papers,First Author Papers,ORCID,Author ID
252,William Thielicke,Faseroptische Systeme Messtechnik (Germany),DE,0.603,3595,10,1,1,https://orcid.org/0000-0001-8866-9769,https://openalex.org/A5045311370
631,Eveline M. Bunge,Pallas (Germany),DE,0.403,3117,25,1,1,https://orcid.org/0000-0001-7988-909X,https://openalex.org/A5012700379
668,Yundong Zhang,Vimicro (China),CN,0.403,1780,13,1,1,https://orcid.org/0000-0001-7836-2034,https://openalex.org/A5101810418
1334,Maarten Grootendorst,Lightpoint Medical (United Kingdom),GB,0.403,1844,12,1,1,https://orcid.org/0000-0002-1260-1976,https://openalex.org/A5028666747
1019,David Zemánek,Sequoia (United States),US,0.403,4944,22,2,0,https://orcid.org/0000-0001-7336-6116,https://openalex.org/A5005097439
665,Zheng Ge,Megvii (China),,0.403,3417,6,1,1,https://orcid.org/0000-0001-8770-2555,https://openalex.org/A5103095930
988,Bert Metz,Nuclear Research and Consultancy Group,NL,0.403,23605,24,1,1,,https://openalex.org/A5110382351
1111,Daniel P. Raymer,Conceptual Mindworks (United States),US,0.403,3475,10,1,1,,https://openalex.org/A5034934314
1110,John R. Howell,Walker (United States),US,0.403,16467,44,1,1,https://orcid.org/0000-0001-9578-7923,https://openalex.org/A5022518314
710,Mingxing Tan,Nomor Research (Germany),DE,0.403,30994,33,2,2,,https://openalex.org/A5110774377
935,Amelia K. Boehme,Aetion (United States),US,0.403,19086,46,3,0,https://orcid.org/0000-0001-7408-1075,https://openalex.org/A5035161117
1170,A.G. Gurevich,Nokia (United States),US,0.403,1642,3,1,1,,https://openalex.org/A5003220635
