Rank,Name,Company,Country,Score,Citations,H-Index,Papers,First Author Papers,ORCID,Author ID,Status,Stock_Ticker,Exchange,Stock_Price,Currency,Market_Cap,Note
16,Karl Marx,Material (Belgium),BE,0.703,50655,80,3,3,,https://openalex.org/A5111412543,Public,XAB=F,CME,$946.10,USD,N/A,
62,Tero Karras,Nvidia (United Kingdom),GB,0.603,30272,44,3,3,,https://openalex.org/A5004093189,Public,NVDA,NASDAQ,$190.90,USD,$4.65T,
197,Hassan Ismail Fawaz,Ericsson (Finland),FI,0.603,4748,12,1,1,https://orcid.org/0000-0003-1384-5996,https://openalex.org/A5044378917,Public,ERIC,NASDAQ,$9.43,USD,$31.63B,
208,A. Saravanan,Aditya Birla (India),IN,0.603,14725,61,2,1,https://orcid.org/0000-0002-5420-8662,https://openalex.org/A5050800897,Public,0P0000IUJV.BO,BSE,$28.24,INR,N/A,
216,Ivan Kobyzev,Huawei Technologies (Sweden),SE,0.603,1522,8,1,1,https://orcid.org/0000-0003-1934-4842,https://openalex.org/A5008923192,Private,,,,,Private,Chinese private company
252,William Thielicke,Faseroptische Systeme Messtechnik (Germany),DE,0.603,3595,10,1,1,https://orcid.org/0000-0001-8866-9769,https://openalex.org/A5045311370,Private/Unknown,,,,,Unknown,Company not found in public markets
385,Vladimir Karpukhin,Meta (Israel),IL,0.453,5070,17,2,1,,https://openalex.org/A5032508066,Public,META,NASDAQ,$751.91,USD,$1.89T,
431,Daníel F. Guðbjartsson,deCODE Genetics (Iceland),IS,0.404,77968,138,3,2,https://orcid.org/0000-0002-5222-9857,https://openalex.org/A5042302428,Acquired,,,,,Private,Acquired by Amgen 2012 for $415M
463,Ashkan Afshin,Novel (United States),US,0.403,136909,66,6,0,https://orcid.org/0000-0001-6239-8809,https://openalex.org/A5028948429,Public,002014.SZ,SHZ,$11.31,CNY,$6.93B,
465,Andrew M. Campbell,Microsoft Research (India),IN,0.403,2738,20,1,1,https://orcid.org/0000-0002-0285-6297,https://openalex.org/A5039260717,Public,MSFT,NASDAQ,$532.77,USD,$3.96T,
483,Sandhini Agarwal,OpenAI (United States),US,0.403,24373,12,4,0,,https://openalex.org/A5057289323,Private,,,,,$80B+ (2024),
490,Shifeng Zhang,Huawei Technologies (Sweden),SE,0.403,2836,14,1,1,,https://openalex.org/A5107947635,Private,,,,,Private,Chinese private company
584,Jürgen Rudolph,Framatome (Germany),DE,0.403,2409,14,1,1,,https://openalex.org/A5109171711,Private/Unknown,,,,,Unknown,Company not found in public markets
631,Eveline M. Bunge,Pallas (Germany),DE,0.403,3117,25,1,1,https://orcid.org/0000-0001-7988-909X,https://openalex.org/A5012700379,Public,PALLAS.HE,HEL,$0.68,EUR,"$874,658",
664,Shervin Minaee,Snap (United States),US,0.403,8435,31,3,3,https://orcid.org/0000-0001-6689-9221,https://openalex.org/A5017101039,Public,SNAP,NYSE,$7.94,USD,$13.42B,
665,Zheng Ge,Megvii (China),,0.403,3417,6,1,1,https://orcid.org/0000-0001-8770-2555,https://openalex.org/A5103095930,Private,,,,,Private,Chinese AI unicorn
668,Yundong Zhang,Vimicro (China),CN,0.403,1780,13,1,1,https://orcid.org/0000-0001-7836-2034,https://openalex.org/A5101810418,Public,VIMC,NASDAQ,,USD,N/A,
677,Enze Xie,Huawei Technologies (Sweden),SE,0.403,13434,32,3,1,https://orcid.org/0000-0001-6890-1049,https://openalex.org/A5041031140,Private,,,,,Private,Chinese private company
710,Mingxing Tan,Nomor Research (Germany),DE,0.403,30994,33,2,2,,https://openalex.org/A5110774377,Private/Unknown,,,,,Unknown,Company not found in public markets
715,Édouard Grave,Meta (United Kingdom),GB,0.403,33823,56,2,0,,https://openalex.org/A5069316249,Public,META,NASDAQ,$751.91,USD,$1.89T,
801,Hanna Wallach,Microsoft Research New York City (United States),,0.403,14707,45,2,1,https://orcid.org/0000-0003-3395-7186,https://openalex.org/A5046348432,Public,MSFT,NASDAQ,$532.78,USD,$3.96T,
874,George Armstrong Kelly,Integrated Sensors (United States),US,0.403,2869,22,1,1,,https://openalex.org/A5112152592,Private/Unknown,,,,,Unknown,Company not found in public markets
935,Amelia K. Boehme,Aetion (United States),US,0.403,19086,46,3,0,https://orcid.org/0000-0001-7408-1075,https://openalex.org/A5035161117,Private/Unknown,,,,,Unknown,Company not found in public markets
947,Wayne Xin Zhao,Humanwell Healthcare Group (China),CN,0.403,15223,55,1,1,https://orcid.org/0000-0002-8333-6196,https://openalex.org/A5037145565,Public,600079.SS,SHH,$21.54,CNY,$35.16B,
988,Bert Metz,Nuclear Research and Consultancy Group,NL,0.403,23605,24,1,1,,https://openalex.org/A5110382351,Private/Unknown,,,,,Unknown,Company not found in public markets
1019,David Zemánek,Sequoia (United States),US,0.403,4944,22,2,0,https://orcid.org/0000-0001-7336-6116,https://openalex.org/A5005097439,Public,SEQUX,NAS,$212.22,USD,$5.12B,
1070,Herbert Marcuse,Short and Associates (United States),US,0.403,15191,45,1,1,,https://openalex.org/A5108693791,Private/Unknown,,,,,Unknown,Company not found in public markets
1110,John R. Howell,Walker (United States),US,0.403,16467,44,1,1,https://orcid.org/0000-0001-9578-7923,https://openalex.org/A5022518314,Public,1WV0.F,FRA,$0.17,EUR,$9.34M,
